17:27:06 DEBUG   Count: 72 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:06 DEBUG   Count: 73 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:06 DEBUG   Count: 74 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:06 DEBUG   Count: 75 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:06 DEBUG   Count: 76 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:06 DEBUG   Count: 77 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:07 DEBUG   Count: 78 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:07 DEBUG   Count: 79 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:07 DEBUG   Count: 80 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:07 DEBUG   Count: 81 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:07 DEBUG   Count: 82 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:07 DEBUG   Count: 83 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:07 DEBUG   Count: 84 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:07 DEBUG   Count: 85 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:07 DEBUG   Count: 86 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:08 DEBUG   Count: 87 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:08 DEBUG   Count: 88 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:08 DEBUG   Count: 89 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:08 DEBUG   Count: 90 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:08 DEBUG   Count: 91 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:08 DEBUG   Count: 92 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:08 DEBUG   Count: 93 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:08 DEBUG   Count: 94 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:08 DEBUG   Count: 95 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:09 DEBUG   Count: 96 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:09 DEBUG   Count: 97 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:09 DEBUG   Count: 98 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:09 DEBUG   Count: 99 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:09 DEBUG   Count: 100 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:09 DEBUG   Count: 101 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:09 DEBUG   Count: 102 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:09 DEBUG   Count: 103 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:09 DEBUG   Count: 104 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:10 DEBUG   Count: 105 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:10 DEBUG   Count: 106 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:10 DEBUG   Count: 107 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:10 DEBUG   Count: 108 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:10 DEBUG   Count: 109 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:10 DEBUG   Count: 110 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:10 DEBUG   Count: 111 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:10 DEBUG   Count: 112 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:10 DEBUG   Count: 113 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:10 DEBUG   Count: 114 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:11 DEBUG   Count: 115 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:11 DEBUG   Count: 116 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
